StockCode,Description,Month,MonthlySales
85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,9581.650000000001
84879,ASSORTED COLOUR BIRD ORNAMENT,1,2704.1899999999996
23166,MEDIUM CERAMIC TOP STORAGE JAR,9,397.26
47566,PARTY BUNTING,1,1815.1499999999999
M,MANUAL,8,2989.54
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,4912.6500000000015
85099B,JUMBO BAG RED RETROSPOT,10,9763.060000000001
22423,REGENCY CAKESTAND 3 TIER,1,10765.499999999998
85099B,JUMBO BAG RED RETROSPOT,7,5654.5999999999985
POST,POSTAGE,11,10349.95
47566,PARTY BUNTING,11,3715.7099999999996
85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,13849.929999999997
47566,PARTY BUNTING,9,4386.999999999998
POST,POSTAGE,2,3166.0
M,MANUAL,12,666.27
85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,5498.100000000001
84879,ASSORTED COLOUR BIRD ORNAMENT,3,3997.9799999999996
47566,PARTY BUNTING,8,6306.05
22423,REGENCY CAKESTAND 3 TIER,6,8216.349999999999
84879,ASSORTED COLOUR BIRD ORNAMENT,5,4977.239999999999
22423,REGENCY CAKESTAND 3 TIER,10,11895.15
23084,RABBIT NIGHT LIGHT,12,6875.2
22423,REGENCY CAKESTAND 3 TIER,4,12721.5
22423,REGENCY CAKESTAND 3 TIER,3,14784.649999999998
84879,ASSORTED COLOUR BIRD ORNAMENT,10,4358.23
47566,PARTY BUNTING,6,8266.15
85099B,JUMBO BAG RED RETROSPOT,6,6628.419999999999
85099B,JUMBO BAG RED RETROSPOT,4,4141.78
M,MANUAL,1,94.4
85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,155.35
23084,RABBIT NIGHT LIGHT,10,11955.35
84879,ASSORTED COLOUR BIRD ORNAMENT,2,2620.91
47566,PARTY BUNTING,12,1258.8000000000002
22423,REGENCY CAKESTAND 3 TIER,8,8921.7
23166,MEDIUM CERAMIC TOP STORAGE JAR,6,458.51
22423,REGENCY CAKESTAND 3 TIER,5,11503.599999999999
84879,ASSORTED COLOUR BIRD ORNAMENT,11,8193.549999999997
47566,PARTY BUNTING,3,6129.15
