StockCode,Month,Year,TotalSales
22963,1,2011,254.98000000000002
22720,3,2011,3614.7
23165,6,2011,789.6000000000001
22549,1,2011,87.0
22804,3,2011,638.1500000000001
22055,3,2011,345.65000000000003
22629,4,2011,922.6499999999997
37500,3,2011,198.00000000000003
22407,4,2011,18.75
23140,4,2011,152.25
22090,7,2011,2018.8000000000002
22899,1,2011,292.1
21217,4,2011,708.1999999999998
23156,4,2011,350.84000000000003
22328,6,2011,1557.4500000000003
21930,6,2011,1285.7999999999995
20679,6,2011,243.95000000000005
85035A,7,2011,51.0
22604,8,2011,53.55
21747,1,2011,35.0
21462,2,2011,67.5
22842,2,2011,670.6000000000001
22174,12,2010,1576.4099999999999
84946,7,2011,1290.56
21718,8,2011,115.0
22847,4,2011,16.95
85199L,3,2011,18.200000000000003
90175A,3,2011,8.95
21012,4,2011,39.900000000000006
23061,5,2011,255.0
22865,1,2011,132.3
22677,4,2011,72.5
21905,1,2011,16.8
72818,12,2010,79.47
84827,12,2010,63.74999999999999
16161G,5,2011,7.5
22894,1,2011,238.0
22421,2,2011,36.54
79051A,6,2011,68.43999999999998
21614,4,2011,41.300000000000004
22151,5,2011,874.68
90206C,6,2011,9.9
21163,2,2011,37.699999999999996
22812,7,2011,25.349999999999998
21889,4,2011,247.5
22349,5,2011,3408.45
22282,5,2011,38.25
22375,3,2011,72.25
20996,5,2011,21.0
23196,6,2011,88.44999999999999
85185B,4,2011,44.25000000000001
22844,1,2011,578.36
21242,2,2011,365.65999999999997
22109,3,2011,82.5
84279P,1,2011,86.25
22315,3,2011,36.25
20733,6,2011,21.25
84971S,3,2011,172.55
21700,5,2011,142.8
22896,1,2011,495.6
22992,5,2011,504.75
21656,12,2010,10.149999999999999
17096,7,2011,49.470000000000006
22533,3,2011,31.92
22600,7,2011,56.95
35599B,12,2010,8.49
15044B,3,2011,180.59999999999997
35833P,7,2011,1.25
22547,8,2011,32.76
21882,12,2010,57.95
20712,8,2011,1485.7599999999998
22608,1,2011,75.6
21629,2,2011,47.7
22777,4,2011,125.80000000000001
84559A,5,2011,12.75
22785,4,2011,27.0
22420,5,2011,2.52
22230,12,2010,20.4
22119,1,2011,13.9
35970,8,2011,228.14999999999998
