StockCode,Description,Month,Year,TotalSales
22863,SOAP DISH BROCANTE,3,2011,314.15000000000003
22335,HEART DECORATION PAINTED ZINC,5,2011,90.35000000000002
22371,AIRLINE BAG VINTAGE TOKYO 78,3,2011,273.95000000000005
22557,PLASTERS IN TIN VINTAGE PAISLEY,3,2011,687.6000000000001
21843,RED RETROSPOT CAKE STAND,5,2011,1204.4999999999995
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,1,2011,622.8000000000002
84375,SET OF 20 KIDS COOKIE CUTTERS,3,2011,1071.0
22031,BOTANICAL LAVENDER BIRTHDAY CARD,3,2011,15.120000000000001
21747,SMALL SKULL WINDMILL,1,2011,35.0
22499,WOODEN UNION JACK BUNTING,4,2011,2950.8
22931,BAKING MOULD HEART WHITE CHOCOLATE,5,2011,53.55
21078,SET/20 STRAWBERRY PAPER NAPKINS,5,2011,279.9199999999999
20725,LUNCH BAG RED RETROSPOT,1,2011,2080.8999999999996
21454,PAINTED PINK RABBIT,4,2011,35.699999999999996
21747,SMALL SKULL WINDMILL,6,2011,90.0
21620,SET OF 4 ROSE BOTANICAL CANDLES,3,2011,82.5
21351,CINAMMON & ORANGE WREATH,12,2010,242.10000000000002
20719,WOODLAND CHARLOTTE BAG,7,2011,472.34999999999997
85014B,RED RETROSPOT UMBRELLA,2,2011,642.2000000000002
22300,COFFEE MUG DOG + BALL DESIGN,3,2011,183.6
23053,RECYCLED ACAPULCO MAT PINK,6,2011,468.65
21657,MILK BOTTLE WITH GLASS STOPPER,12,2010,111.19999999999999
22360,GLASS JAR ENGLISH CONFECTIONERY,3,2011,61.95
22075,6 RIBBONS ELEGANT CHRISTMAS,12,2010,574.5
20685,DOORMAT RED RETROSPOT,6,2011,3660.2500000000005
22233,JIGSAW RABBIT AND BIRDHOUSE,6,2011,43.07
20977,36 PENCILS TUBE WOODLAND,7,2011,161.25
21209,MULTICOLOUR HONEYCOMB FAN,2,2011,132.29999999999998
84406B,CREAM CUPID HEARTS COAT HANGER,6,2011,290.5
82600,NO SINGING METAL SIGN,8,2011,1018.8000000000002
21804,WHITE CHRISTMAS GARLAND STARS TREES,12,2010,45.0
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,2011,134.85
22376,AIRLINE BAG VINTAGE JET SET WHITE,7,2011,38.25
22137,BATHROOM SET LOVE HEART DESIGN,4,2011,17.700000000000003
22686,FRENCH BLUE METAL DOOR SIGN NO,7,2011,17.5
22905,CALENDAR IN SEASON DESIGN,12,2010,70.80000000000001
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,1,2011,31.349999999999994
21696,SMALL SILVER TRELLIS CANDLEPOT,3,2011,70.80000000000001
21688,SILVER PLATE CANDLE BOWL SMALL,4,2011,70.80000000000001
16012,FOOD/DRINK SPONGE STICKERS,5,2011,27.929999999999996
21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,5,2011,13.2
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,5,2011,123.75
22094,RED RETROSPOT TISSUE BOX,6,2011,16.25
22760,"TRAY, BREAKFAST IN BED",3,2011,129.45
22336,DOVE DECORATION PAINTED ZINC,7,2011,23.4
85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2011,172.55
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,5,2011,153.0
21944,KITTENS DESIGN FLANNEL,1,2011,30.599999999999998
22221,CAKE STAND LOVEBIRD 2 TIER PINK,2,2011,39.8
35649,VINTAGE BEAD COSMETIC BAG,4,2011,20.1
22660,DOORMAT I LOVE LONDON,5,2011,115.2
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,6,2011,13.5
21207,SKULL AND CROSSBONES  GARLAND,7,2011,163.64999999999998
21616,4 PEAR BOTANICAL DINNER CANDLES,12,2010,63.75
84760S,SMALL HANGING GLASS+ZINC LANTERN,5,2011,11.6
23142,IVORY WIRE KITCHEN ORGANISER,4,2011,31.200000000000003
16169P,WRAP GREEN RUSSIAN FOLKART,12,2010,21.0
22229,BUNNY WOODEN PAINTED WITH FLOWER,6,2011,14.04
22497,SET OF 2 TINS VINTAGE BATHROOM,2,2011,80.75
22167,OVAL WALL MIRROR DIAMANTE,6,2011,79.6
22715,CARD WEDDING DAY,8,2011,70.56
21580,RABBIT  DESIGN  COTTON TOTE BAG,6,2011,20.25
35920,FOUR RABBIT EASTER DECORATIONS,4,2011,26.25
84510A,SET OF 4 ENGLISH ROSE COASTERS,8,2011,71.25
85032B,BLOSSOM IMAGES GIFT WRAP SET,2,2011,115.50000000000001
21248,DOOR HANGER  MUM + DADS ROOM,4,2011,1.45
21832,CHOCOLATE CALCULATOR,4,2011,61.04999999999999
22452,MEASURING TAPE BABUSHKA PINK,8,2011,115.05000000000001
22470,HEART OF WICKER LARGE,9,2011,3242.1500000000015
20971,PINK BLUE FELT CRAFT TRINKET BOX,11,2011,1029.31
22619,SET OF 6 SOLDIER SKITTLES,11,2011,1387.82
