StockCode,Description,Month,Year,TotalSales
21527,RED RETROSPOT TRADITIONAL TEAPOT,12,2010,1271.7
22960,JAM MAKING SET WITH JARS,1,2011,2627.5
79000,MOROCCAN TEA GLASS,3,2011,338.4
22697,GREEN REGENCY TEACUP AND SAUCER,4,2011,1289.05
22485,SET OF 2 WOODEN MARKET CRATES,1,2011,165.75
21096,SET/6 FRUIT SALAD  PAPER PLATES,3,2011,37.4
22721,SET OF 3 CAKE TINS SKETCHBOOK,1,2011,642.9
21454,PAINTED PINK RABBIT,2,2011,87.55
21484,CHICK GREY HOT WATER BOTTLE,2,2011,157.95000000000002
21070,VINTAGE BILLBOARD MUG,2,2011,130.07
20969,RED FLORAL FELTCRAFT SHOULDER BAG,2,2011,127.5
21975,PACK OF 60 DINOSAUR CAKE CASES,1,2011,239.25000000000006
22150,3 STRIPEY MICE FELTCRAFT,2,2011,397.20000000000005
84212,"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",12,2010,233.45
82583,HOT BATHS METAL SIGN,2,2011,594.0
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,1,2011,59.589999999999996
22491,PACK OF 12 COLOURED PENCILS,12,2010,222.7
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,2,2011,10.0
21506,"FANCY FONT BIRTHDAY CARD,",2,2011,100.80000000000001
22684,FRENCH BLUE METAL DOOR SIGN 9,3,2011,66.25
21326,AGED GLASS SILVER T-LIGHT HOLDER,4,2011,313.50000000000006
90147,CHUNKY SILVER NECKLACE PASTEL FLOWE,2,2011,39.8
22537,MAGIC DRAWING SLATE DINOSAUR,1,2011,53.34
22543,MINI JIGSAW BAKE A CAKE,2,2011,21.32
85049B,LUSH GREENS RIBBONS,1,2011,46.25
20770,ABSTRACT CIRCLE JOURNAL,2,2011,17.849999999999998
21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2010,305.7
16219,HOUSE SHAPE PENCIL SHARPENER,1,2011,2.52
22902,TOTE BAG I LOVE LONDON,2,2011,214.70000000000002
85231G,ORANGE SCENTED SET/9 T-LIGHTS,2,2011,12.75
84877D,BLUE ROUND COMPACT MIRROR,12,2010,48.75
22995,TRAVEL CARD WALLET SUKI,4,2011,155.22
51014C,"FEATHER PEN,COAL BLACK",3,2011,31.45
85178,VICTORIAN SEWING KIT,3,2011,272.5
21935,SUKI  SHOULDER BAG,1,2011,310.0
85135B,BLUE DRAGONFLY HELICOPTER,12,2010,151.05
21285,RETROSPOT CANDLE  MEDIUM,12,2010,10.5
21376,LARGE  TALL CAMPHOR WOOD TOADSTOOL,12,2010,16.35
20766,GARDEN PATH SKETCHBOOK,7,2011,30.0
22023,EMPIRE BIRTHDAY CARD,8,2011,45.36
21115,ROSE CARAVAN DOORSTOP,5,2011,121.5
21658,GLASS  BEURRE DISH,6,2011,348.76
84818,DANISH ROSE PHOTO FRAME,8,2011,313.63000000000005
23127,FELTCRAFT GIRL NICOLE KIT,7,2011,247.5
84997A,CHILDRENS CUTLERY POLKADOT GREEN,5,2011,373.5000000000001
21903,MAN FLU METAL SIGN,7,2011,216.3
15056P,EDWARDIAN PARASOL PINK,7,2011,782.7500000000001
20735,BLACK MINI TAPE MEASURE,5,2011,2.55
22437,SET OF 9 BLACK SKULL BALLOONS,4,2011,69.7
84859A,SILVER DISCO HANDBAG,5,2011,15.6
16162M,THE KING GIFT BAG 25X24X12CM,7,2011,4.2
23312,VINTAGE CHRISTMAS GIFT SACK,8,2011,798.3
17090A,LAVENDER INCENSE 40 CONES IN TIN,5,2011,1.25
23234,BISCUIT TIN VINTAGE CHRISTMAS,7,2011,286.21000000000004
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,7,2011,253.64999999999998
23191,BUNDLE OF 3 RETRO EXERCISE BOOKS,5,2011,98.99999999999999
23065,LARGE DECO JEWELLERY STAND,8,2011,237.5
22064,PINK DOUGHNUT TRINKET POT,4,2011,122.99999999999997
20716,PARTY FOOD SHOPPER BAG,6,2011,11.25
82613A,"METAL SIGN,CUPCAKE SINGLE HOOK",5,2011,3.75
10080,GROOVY CACTUS INFLATABLE,8,2011,23.4
21986,PACK OF 12 PINK POLKADOT TISSUES,7,2011,49.3
72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,4,2011,245.58
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,10,2011,992.02
22649,STRAWBERRY FAIRY CAKE TEAPOT,10,2011,257.4
23174,REGENCY SUGAR BOWL GREEN,10,2011,556.09
21843,RED RETROSPOT CAKE STAND,8,2011,1256.85
23319,BOX OF 6 MINI 50'S CRACKERS,9,2011,2009.1600000000003
22589,CARDHOLDER GINGHAM STAR,10,2011,265.53
23084,RABBIT NIGHT LIGHT,11,2011,23190.409999999993
23210,WHITE ROCKING HORSE HAND PAINTED,11,2011,1011.01
23109,PACK OF SIX LED TEA LIGHTS,9,2011,647.36
22357,KINGS CHOICE BISCUIT TIN,9,2011,42.379999999999995
22041,"\"RECORD FRAME 7\"\" SINGLE SIZE \"",11,2011,1349.5800000000002
23241,TREASURE TIN GYMKHANA DESIGN,11,2011,463.84000000000003
84924A,WAKE UP COCKEREL CALENDAR SIGN,8,2011,37.5
22439,6 ROCKET BALLOONS,9,2011,192.1
23157,SET OF 6 NATIVITY MAGNETS,9,2011,920.8800000000001
44234,ASSORTED CIRCULAR MOBILE,9,2011,3.9899999999999998
22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,11,2011,99.69
22683,FRENCH BLUE METAL DOOR SIGN 8,9,2011,33.71
23526,WALL ART DOG LICENCE,11,2011,1055.1299999999999
22550,HOLIDAY FUN LUDO,9,2011,406.14
21875,KINGS CHOICE MUG,10,2011,84.61000000000001
72598,SET/12 TAPER CANDLES,11,2011,174.48999999999998
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,11,2011,260.70000000000005
22076,6 RIBBONS EMPIRE,7,2011,47.849999999999994
20770,ABSTRACT CIRCLE JOURNAL,4,2011,15.299999999999999
21967,PACK OF 12 SKULL TISSUES,8,2011,49.01
22536,MAGIC DRAWING SLATE PURDEY,10,2011,115.91999999999999
22042,CHRISTMAS CARD SINGING ANGEL,9,2011,20.16
21821,GLITTER STAR GARLAND WITH BELLS,8,2011,97.5
21204,DAISIES  HONEYCOMB GARLAND,10,2011,46.19999999999999
22426,ENAMEL WASH BOWL CREAM,11,2011,118.45
85179A,GREEN BITTY LIGHT CHAIN,11,2011,107.88
21174,POTTERING IN THE SHED METAL SIGN,12,2011,666.5600000000001
22195,LARGE HEART MEASURING SPOONS,12,2011,122.03999999999999
35598B,BLACK CHRISTMAS TREE 60CM,11,2011,87.75
20777,CHRYSANTHEMUM NOTEBOOK,11,2011,54.449999999999996
22976,CIRCUS PARADE CHILDRENS EGG CUP,12,2011,32.5
85019B,BLOSSOM  IMAGES NOTEBOOK SET,10,2011,210.0
22863,SOAP DISH BROCANTE,3,2011,314.15000000000003
22371,AIRLINE BAG VINTAGE TOKYO 78,3,2011,273.95000000000005
22557,PLASTERS IN TIN VINTAGE PAISLEY,3,2011,687.6
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,1,2011,622.8000000000001
84375,SET OF 20 KIDS COOKIE CUTTERS,3,2011,1071.0000000000002
22031,BOTANICAL LAVENDER BIRTHDAY CARD,3,2011,15.120000000000001
21747,SMALL SKULL WINDMILL,1,2011,35.0
20725,LUNCH BAG RED RETROSPOT,1,2011,2080.9
21454,PAINTED PINK RABBIT,4,2011,35.7
21620,SET OF 4 ROSE BOTANICAL CANDLES,3,2011,82.5
21351,CINAMMON & ORANGE WREATH,12,2010,242.10000000000002
85014B,RED RETROSPOT UMBRELLA,2,2011,642.2
22300,COFFEE MUG DOG + BALL DESIGN,3,2011,183.6
21657,MILK BOTTLE WITH GLASS STOPPER,12,2010,111.2
22360,GLASS JAR ENGLISH CONFECTIONERY,3,2011,61.95
22075,6 RIBBONS ELEGANT CHRISTMAS,12,2010,574.5
21209,MULTICOLOUR HONEYCOMB FAN,2,2011,132.29999999999998
21804,WHITE CHRISTMAS GARLAND STARS TREES,12,2010,45.0
22905,CALENDAR IN SEASON DESIGN,12,2010,70.80000000000001
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,1,2011,31.349999999999994
21696,SMALL SILVER TRELLIS CANDLEPOT,3,2011,70.80000000000001
22499,WOODEN UNION JACK BUNTING,4,2011,2950.8
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,2011,134.85
22760,"TRAY, BREAKFAST IN BED",3,2011,129.45
85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2011,172.55
21944,KITTENS DESIGN FLANNEL,1,2011,30.599999999999998
22221,CAKE STAND LOVEBIRD 2 TIER PINK,2,2011,39.8
35649,VINTAGE BEAD COSMETIC BAG,4,2011,20.1
21616,4 PEAR BOTANICAL DINNER CANDLES,12,2010,63.75
22335,HEART DECORATION PAINTED ZINC,5,2011,90.35
21843,RED RETROSPOT CAKE STAND,5,2011,1204.5
21078,SET/20 STRAWBERRY PAPER NAPKINS,5,2011,279.91999999999996
21747,SMALL SKULL WINDMILL,6,2011,90.0
20719,WOODLAND CHARLOTTE BAG,7,2011,472.35
23053,RECYCLED ACAPULCO MAT PINK,6,2011,468.65
20685,DOORMAT RED RETROSPOT,6,2011,3660.25
22233,JIGSAW RABBIT AND BIRDHOUSE,6,2011,43.07
20977,36 PENCILS TUBE WOODLAND,7,2011,161.25
84406B,CREAM CUPID HEARTS COAT HANGER,6,2011,290.5
82600,NO SINGING METAL SIGN,8,2011,1018.8000000000002
22376,AIRLINE BAG VINTAGE JET SET WHITE,7,2011,38.25
22137,BATHROOM SET LOVE HEART DESIGN,4,2011,17.700000000000003
22686,FRENCH BLUE METAL DOOR SIGN NO,7,2011,17.5
21688,SILVER PLATE CANDLE BOWL SMALL,4,2011,70.80000000000001
16012,FOOD/DRINK SPONGE STICKERS,5,2011,27.929999999999996
21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,5,2011,13.2
22094,RED RETROSPOT TISSUE BOX,6,2011,16.25
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,5,2011,123.75
22336,DOVE DECORATION PAINTED ZINC,7,2011,23.400000000000002
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,5,2011,153.0
22660,DOORMAT I LOVE LONDON,5,2011,115.2
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,6,2011,13.5
21207,SKULL AND CROSSBONES  GARLAND,7,2011,163.64999999999998
84760S,SMALL HANGING GLASS+ZINC LANTERN,5,2011,11.6
22452,MEASURING TAPE BABUSHKA PINK,8,2011,115.05000000000001
22470,HEART OF WICKER LARGE,9,2011,3242.1500000000005
20971,PINK BLUE FELT CRAFT TRINKET BOX,11,2011,1029.31
22796,PHOTO FRAME 3 CLASSIC HANGING,9,2011,460.20000000000005
20829,GLITTER HANGING BUTTERFLY STRING,9,2011,117.6
20725,LUNCH BAG RED RETROSPOT,10,2011,1885.5199999999998
22835,HOT WATER BOTTLE I AM SO POORLY,10,2011,1944.0900000000001
22619,SET OF 6 SOLDIER SKITTLES,11,2011,1387.8200000000002
22715,CARD WEDDING DAY,8,2011,70.56
23172,REGENCY TEA PLATE PINK,9,2011,915.7500000000001
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,9,2011,1667.1000000000004
82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",9,2011,17.5
22725,ALARM CLOCK BAKELIKE CHOCOLATE,10,2011,1288.42
21224,SET/4 SKULL BADGES,9,2011,70.0
22565,FELTCRAFT HAIRBANDS PINK AND WHITE,8,2011,54.4
21724,PANDA AND BUNNIES STICKER SHEET,10,2011,13.599999999999998
22110,BIRD HOUSE HOT WATER BOTTLE,9,2011,178.5
21294,ETCHED GLASS COASTER,9,2011,10.14
23247,BISCUIT TIN 50'S CHRISTMAS,11,2011,1664.6799999999996
84510A,SET OF 4 ENGLISH ROSE COASTERS,8,2011,71.25
